Category,Item Name,Veg / Non-Veg,Portions (Half / Full),Flavours / Toppings
Noodles/Rice,Hakka Noodles,Veg / Non Veg,,
Noodles/Rice,Chilli Garlic Noodles,Veg / Non Veg,,
Noodles/Rice,Black Pepper Noodles,Veg / Non Veg,,
Noodles/Rice,Singapore Noodles,Veg / Non Veg,,
Noodles/Rice,Veg Fried Rice,Veg,,
Noodles/Rice,Egg Fried Rice,Non Veg,,
Noodles/Rice,Chicken Fried Rice,Non Veg,,
Noodles/Rice,Chicken & Egg Fried Rice,Non Veg,,
Pizza,Margherita Pizza,Veg,8'' / 12'',
Pizza,Cheese N Corn Pizza,Veg,8'' / 12'',
Pizza,Mushroom N Cheese Pizza,Veg,8'' / 12'',
Pizza,Farm House Cheese Pizza,Veg,8'' / 12'',
Pizza,Paneer Overload Pizza,Veg,8'' / 12'',
Pizza,Tandoori Paneer Pizza,Veg,8'' / 12'',
Pizza,Flaming Fiesta Pizza,Veg,8'' / 12'',
Japanese Ramen,Wild Mushroom Ramen,Veg,Half / Full,
Japanese Ramen,Miso Ramen (Keema Ramen),Veg / Non Veg,Half / Full,
Japanese Ramen,Katsu Ramen,Veg / Non Veg,Half / Full,
Japanese Ramen,Cheese Melt Ramen,Veg / Non Veg,Half / Full,
Japanese Ramen,Naruto Spicy Chicken Ramen,Non Veg,Half / Full,
Booze Worthy Snacks,Korean Chicken,Non Veg,Half / Full / Extra Large,Medium Spicy / Sweet Heat / High Spicy
Booze Worthy Snacks,Thai Basil Chicken,Non Veg,,
Booze Worthy Snacks,Grilled Chicken,Non Veg,,
Booze Worthy Snacks,Quesadilla,Veg / Non Veg,,
Booze Worthy Snacks,Chicken Pop Corn,Non Veg,Half / Full / Extra Large,
Booze Worthy Snacks,Chicken Tenders (Chicken Finger),Non Veg,Half / Full,
Booze Worthy Snacks,Chilli Chicken,Non Veg,Half / Full,
Booze Worthy Snacks,Cheese Balls (8 Pieces),Veg,,
Booze Worthy Snacks,Korean Style Mix Veg,Veg,Half / Full,Medium Spicy / Sweet Heat / High Spicy
Booze Worthy Snacks,Honey Chilli Potato,Veg,,
Booze Worthy Snacks,Corn Chaat,Veg,,
Booze Worthy Snacks,Cheese Chilli,Veg,Half / Full,
Burgers,Simply Veg Burger,Veg,,
Burgers,Chicken Clucker Burger,Non Veg,,
Burgers,Chilli Clucker Hot Burger,Non Veg,,
Burgers,Paneer Feast Burger,Veg,,
Burgers,Paneer Honey Glaze Burger (SWEET HEAT PANEER BURGER),Veg,,
Burgers,Super Crunch Burger,Veg,,
Burgers,Chicken Feast Burger,Non Veg,,
Burgers,Chicken & Cheese Burger,Non Veg,,
Burgers,Nashville Super Hot Burger,Non Veg, ,No Spicy / Medium Spicy / High Spicy / Very Spicy
Burgers,Tandoori Chicken Burger,Non Veg,,
Burgers,Sweet Heat Burger,Non Veg,,
Burgers,Molten Cheese Burger,Non Veg,,
Burgers,Smash Burger,Non Veg,,
American Hot Dog vs Korean Corn Dog Wars,Coney Island Hot Dog,Non Veg,,
American Hot Dog vs Korean Corn Dog Wars,New York Hot Dog,Non Veg,,
American Hot Dog vs Korean Corn Dog Wars,Chicago Hot Dog (Spicy),Non Veg,,
American Hot Dog vs Korean Corn Dog Wars,Street Feast Special (FRIED + SWEET HEAT),Non Veg,,
American Hot Dog vs Korean Corn Dog Wars,Mozzarella Cheese Korean Hot Dog,Veg,,Orignal Layer / Ramen Layer / Potato Layer
American Hot Dog vs Korean Corn Dog Wars,Korean HotDog Original (Chicken Sausage),Non Veg,,Orignal Layer / Ramen Layer / Potato Layer
American Hot Dog vs Korean Corn Dog Wars,Half & Half (Sausage + Cheese),Non Veg,,Orignal Layer / Ramen Layer / Potato Layer
Wraps,Spicy Katsu Roll,Veg / Non Veg,,
Wraps,Shawarma Roll,Veg / Non Veg,,
Wraps,Mini Pocket Wrap,Veg / Non Veg,,
Wraps,Crunch Wrap,Veg / Non Veg,,
Global Bowls / Combos,Kung Pao Bowl,Veg / Non Veg,,Rice / Noodles
Global Bowls / Combos,Korean Bento Bowl,Veg / Non Veg,,Rice / Noodles
Global Bowls / Combos,Corn & Seekh Rice Bowl,Veg,,
Global Bowls / Combos,Chicken Popcorn Fried Rice [1 Bowl],Non Veg,,
Global Bowls / Combos,Grilled Paneer Fried Rice [1 Bowl],Veg,,
Global Bowls / Combos,Thai Basil Bowl,Veg / Non Veg,,Rice / Noodles
Global Bowls / Combos,Burrito Bowl,Veg / Non Veg,,
Global Bowls / Combos,Agrabha Crater Bowl,Non Veg,,
Drinks,Hazelnut Cold Coffee,,,
Drinks,Ice Tea,,,
Drinks,Virgin Mojito,,,
Drinks,Hot Chocolate,,,
Drinks,Hot Coffee,,,
Drinks,Coke,,,
Drinks,Sprite,,,
Drinks,Diet Coke,,,
Drinks,Thums-Up,,,
Drinks,Soda,,,
Drinks,Water,,,
Fries,Loaded Chicken Popcorn Fries,Non Veg,Full,
Fries,American Cheese Fries,Veg / Non Veg,Half / Full,
Fries,Chicken Street Feast Monster Fries,Non Veg,Half / Full,
Fries,Mexican Fries,Veg / Non Veg,Half / Full,
Fries,Seasoned Fries [Large],Veg,Half / Full / Extra Large,Salted / Peri-Peri
New Launches,Mac & Cheese,Veg,,
New Launches,Hara Bhara Kabab (10 Pieces),Veg,,
Dipps,Chipotle,,,
Dipps,Mayo,,,
Dipps,Cheese,,,
Dipps,Tandoori,,,
Dipps,Mint,,,
Chaap ,Tandoori Chaap,,Half / Full,
Chaap ,Lemon Chaap,,Half / Full,
Chaap ,Achaari Chaap,,Half / Full,
Chaap ,Malai Chaap,,Half / Full,
Chaap ,Afghani Chaap,,Half / Full,
Paneer Tikka,Tandoori Paneer Tikka,,,
Paneer Tikka,Lemon Paneer Tikka,,,
Paneer Tikka,Achaari Paneer Tikka,,,
Paneer Tikka,Malai Paneer Tikka,,,
Paneer Tikka,Afghani Paneer Tikka,,,
Chicken Tikka (BONELESS),Chicken Tikka,,Half / Full,
Chicken Tikka (BONELESS),Lemon Tikka,,Half / Full,
Chicken Tikka (BONELESS),Achaari Tikka,,Half / Full,
Chicken Tikka (BONELESS),Malai Tikka,,Half / Full,
Chicken Tikka (BONELESS),Afghani Tikka,,Half / Full,
Tandoori Chicken (WITH-BONE),Tandoori Chicken,,Half / Full,
Tandoori Chicken (WITH-BONE),Lemon Chicken,,Half / Full,
Tandoori Chicken (WITH-BONE),Achaari Chicken,,Half / Full,
Tandoori Chicken (WITH-BONE),Malai Chicken,,Half / Full,
Tandoori Chicken (WITH-BONE),Afghani Chicken,,Half / Full,
Veg Main Course,Kadhai Paneer,,,
Veg Main Course,Shahi Paneer,,,
Veg Main Course,Paneer Tikka Butter Masala,,,
Veg Main Course,Paneer Do Pyaaza,,,
Veg Main Course,Mushroom Do Pyaaza,,,
Non-Veg Main Course,Kadhai Chicken,,Half / Full,
Non-Veg Main Course,Butter Chicken,,Half / Full,
Non-Veg Main Course,Rarha Chicken,,Half / Full,
Rotti,Tandoori Rotti,,,
Rotti,Butter Rotti,,,
Rotti,Lachha Rotti,,,
Special Orders,Masala Peenuts,,,
Special Orders,Salted Peenuts,,,
Special Orders,Masala Papad,,,
Special Orders,Cheese Naan + Gravy,,,
Special Orders,Onnion Naan,,,
Special Orders,Green Salad,,,
Special Orders,Homemade Chicken (Tari Vala),,Half / Full,
Disposables,Wine Glass,,,
Disposables,Beer Glass,,,
Disposables,Chopp Stick,,,
Disposables,Plates + Kolli + Spoon,,,
